Model,Best Val F1,Test F1,Test Precision,Test Recall,Training Stability,Val Loss Std,Val F1 Std,Best Epoch,Regularization
Original (10 epochs),0.9042727272727271,0.9062,0.8505,0.9846,Moderate,0.0346913267435235,0.009226282592158134,9,None
Regularized (Best),0.9021805194805192,0.9021805194805192,0.8342333333333334,0.9981,Improved,0.017152085540544308,0.0027573568961420415,4,Dropout (0.5) + Weight Decay (1e-4)
